ABIGAIL,ABBIE
ABIGAIL,ABBY
ABRAHAM,ABE
ABRAM,ABE
ADALINE,ADA
ADALINE,ADDY
AGATHA,AGGY
AGNES,AGGY
AUGUSTA,AGGY
AUGUSTINA,AGGY
ALAN,AL
ALBERT,AL
ALDO,AL
ALEXANDER,AL
ALFONSE,AL
ALFRED,AL
ALLAN,AL
ALLEN,AL
ALONZO,AL
ALEXANDER,ALEX
ALEXANDRA,ALEX
ALICE,ALLIE
ALICIA,ALLIE
ALMENA,ALLIE
ANDERSON,ANDY
ANDREW,ANDY
ANTOINETTE,ANN
ANTONIA,ANN
ROSAENN,ANN
ROSAENNA,ANN
ROXANNE,ANN
ROXANNA,ANN
ANN,ANNIE
ANNE,ANNIE
ARABELLA,ARA
ARABELLE,ARA
ARCHIBALD,ARCHIE
ARLENE,ARLY
ARTHUR,ART
BARBARA,BABS
BARBARA,BARBIE
BARNABAS,BARNEY
BERNARD,BARNEY
BARTHOLOMEW,BART
BEATRICE,BEA
REBECCA,BECCA
REBECCA,BECKY
ARABELLA,BELLA
ISABELLA,BELLA
ROSABELLA,BELLA
ARABELLA,BELLE
BELINDA,BELLE
ISABEL,BELLE
ISABELLE,BELLE
ROSABEL,BELLE
BENEDICT,BEN
BENJAMIN,BEN
BENJAMIN,BENJY
BENEDICT,BENNIE
BERNARD,BERNY
ALBERT,BERT
DELBERT,BERT
ELBERT,BERT
GILBERT,BERT
HERBERT,BERT
HUBERT,BERT
NORBERT,BERT
ELIZABETH,BESS
ELIZABETH,BETH
ELIZABETH,BETSY
ELIZABETH,BETTY
ROBERT,BILL
WILLIAM,BILL
ROBERT,BILLY
WILLIAM,BILLY
BERTHA,BIRDIE
ROBERTA,BIRDIE
ROBERTA,BIRTIE
ROBERT,BOB
BARBARA,BOBBIE
ROBERTA,BOBBIE
ROBERT,BOBBY
BRADFORD,BRAD
BRODERICK,BRODY
CALVIN,CAL
CAMILE,CAMMIE
CHARLES,CARL
CAROLANN,CAROL
CAROLINE,CAROL
CAROLINE,CASSIE
CASSANDRA,CASSIE
CATHERINE,CASSIE
CATHLEEN,CASSIE
CATHERINE,CATHY
CATHLEEN,CATHY
CHARLES,CHARLIE
CHESTER,CHET
CHRISTA,CHRIS
CHRISTIAN,CHRIS
CHRISTINA,CHRIS
CHRISTINE,CHRIS
CHRISTOPHER,CHRIS
KRISTEN,CHRIS
KRISTIN,CHRIS
KRISTY,CHRIS
CHARLES,CHUCK
CINDERLLA,CINDY
CYNTHIA,CINDY
CLARISSA,CLARA
CLIFFORD,CLIFF
CLIFTON,CLIFF
CONSTANCE,CONNIE
CHRINTINA,CRISSY
CHRINTINE,CRISSY
CURTIS,CURT
CYRUS,CY
DANIEL,DAN
DANIEL,DANNY
DAVID,DAVE
DAVID,DAVEY
DEBORAH,DEB
DEBRA,DEB
DEBORAH,DEBBIE
DEBRA,DEBBIE
DELORES,DEE
DELBERT,DEL
DELORES,DELLA
DENNIS,DENNIE
DENNISON,DENNIS
DENNIS,DENNY
RICHARD,DICK
DOROTHY,DOLLY
DOMENIC,DOM
DOMINICO,DOM
DONALD,DON
DONATO,DON
DONALD,DONNIE
DONALD,DONNY
DOROTHY,DORA
ELDORA,DORA
ISADORA,DORA
DOROTHY,DOT
DOROTHY,DOTTIE
DOROTHY,DOTTY
ANDREW,DREW
EDGAR,ED
EDMOND,ED
EDMUND,ED
EDUARDO,ED
EDWARD,ED
EDWIN,ED
EDGAR,EDDIE
EDMOND,EDDIE
EDMUND,EDDIE
EDUARDO,EDDIE
EDWARD,EDDIE
EDWIN,EDDIE
EDGAR,EDDY
EDMOND,EDDY
EDMUND,EDDY
EDUARDO,EDDY
EDWARD,EDDY
EDWIN,EDDY
EDITH,EDIE
EDYTH,EDIE
EDYTHE,EDIE
EDYTH,EDYE
EDYTHE,EDYE
ELEANOR,ELAINE
GABRIELLA,ELLA
ELEANOR,ELLEN
AMELIA,EMILY
EMELINE,EMILY
EMELINE,EMMA
EMILY,EMMA
GENEVIEVE,EVE
FAITH,FAY
FLORENCE,FLO
FLORENCE,FLORA
FRANCES,FRAN
FRANCINE,FRAN
FRANCIS,FRAN
FRANCES,FRANCIE
FRANCINE,FRANCIE
FRANCIS,FRANK
